,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
135,22,22,35.6,9.9,76,190,40.0,52,123,42.3,13,18,72.2,Royce O'Neale,PF,BKN
136,18,14,23.2,9.8,70,145,48.3,26,61,42.6,10,17,58.8,Aleksej Pokusevski,PF,OKC
137,17,6,24.6,9.8,66,132,50.0,11,41,26.8,23,26,88.5,Jalen Williams,SG,OKC
138,21,3,25.8,9.7,75,171,43.9,27,72,37.5,27,32,84.4,Jalen McDaniels,PF,CHA
139,16,0,25.8,9.7,55,139,39.6,24,80,30.0,21,25,84.0,Gabe Vincent,PG,MIA
140,19,15,25.8,9.6,68,152,44.7,24,72,33.3,22,32,68.8,Santi Aldama,PF,MEM
141,21,0,22.6,9.6,68,172,39.5,26,81,32.1,40,46,87.0,Immanuel Quickley,PG,NY
142,20,20,25.8,9.6,70,146,47.9,27,59,45.8,24,26,92.3,Patrick Williams,PF,CHI
143,21,21,35.7,9.5,73,153,47.7,13,40,32.5,41,56,73.2,Josh Hart,SF,POR
144,19,19,27.2,9.4,68,153,44.4,32,77,41.6,11,13,84.6,Jevon Carter,PG,MIL
145,18,0,22.4,9.4,74,110,67.3,5,13,38.5,16,21,76.2,Larry Nance Jr.,PF,NO
146,21,0,19.7,9.4,75,123,61.0,0,0,—,48,65,73.8,Nick Richards,C,CHA
147,18,4,22.4,9.3,65,172,37.8,27,96,28.1,10,16,62.5,Tre Mann,PG,OKC
148,15,11,27.9,9.3,62,134,46.3,10,30,33.3,6,12,50.0,Dennis Smith Jr.,PG,CHA
149,18,8,23.0,9.2,60,131,45.8,17,54,31.5,28,31,90.3,Cam Reddish,SF,NY
150,21,0,22.8,9.2,70,154,45.5,31,86,36.0,22,30,73.3,Cedi Osman,SF,CLE
151,20,1,19.1,9.1,73,122,59.8,1,6,16.7,34,44,77.3,Brandon Clarke,PF,MEM
152,20,20,33.4,9.1,66,158,41.8,36,108,33.3,14,19,73.7,Dorian Finney-Smith,SF,DAL
153,20,10,28.2,9.1,63,119,52.9,33,73,45.2,22,26,84.6,Grant Williams,PF,BOS
154,20,20,30.7,9.0,74,123,60.2,8,25,32.0,23,33,69.7,Draymond Green,PF,GS
155,18,18,26.9,9.0,63,142,44.4,21,56,37.5,15,21,71.4,Monte Morris,PG,WAS
156,21,21,27.1,8.9,70,122,57.4,0,0,—,46,82,56.1,Mason Plumlee,C,CHA
157,18,8,24.8,8.8,60,143,42.0,30,77,39.0,9,13,69.2,Terrence Ross,SG,ORL
158,20,5,20.5,8.6,67,145,46.2,27,75,36.0,11,14,78.6,Jose Alvarado,PG,NO
159,20,13,20.4,8.6,66,133,49.6,25,62,40.3,14,20,70.0,Jeremiah Robinson-Earl,C,OKC
160,19,11,27.4,8.5,59,124,47.6,33,78,42.3,10,11,90.9,John Konchar,SG,MEM
161,20,0,18.4,8.4,64,154,41.6,15,40,37.5,24,29,82.8,Tari Eason,F,HOU
162,17,1,17.5,8.4,56,120,46.7,24,65,36.9,7,7,100.0,AJ Griffin,SF,ATL
163,17,12,28.1,8.4,62,101,61.4,0,1,0.0,18,33,54.5,Ben Simmons,PG,BKN
164,19,0,17.8,8.3,59,138,42.8,23,54,42.6,16,23,69.6,Goran Dragic,PG,CHI
165,19,5,18.7,8.2,57,119,47.9,20,56,35.7,22,31,71.0,Mo Bamba,C,ORL
166,21,0,17.7,8.2,66,151,43.7,31,84,36.9,10,11,90.9,Obi Toppin,PF,NY
167,20,0,20.8,8.1,53,118,44.9,39,80,48.8,17,19,89.5,Damion Lee,SG,PHO
168,22,10,21.0,8.1,71,126,56.3,13,40,32.5,23,30,76.7,Terance Mann,SF,LAC
169,20,20,24.9,8.1,71,150,47.3,8,44,18.2,11,20,55.0,Jeremy Sochan,PF,SA
